⚠️ Broken Exit References Detected:

../gorstan_working/src/rooms/secretmazeentry.json: 'west' -> 'hiddenlab' (missing)
../gorstan_working/src/rooms/elfhameZone/elfhame.json: 'north' -> 'faelakenorthshore' (missing)
../gorstan_working/src/rooms/elfhameZone/elfhame.json: 'south' -> 'faelake' (missing)
../gorstan_working/src/rooms/elfhameZone/elfhame.json: 'east' -> 'faepalacemainhall' (missing)
../gorstan_working/src/rooms/elfhameZone/faelake.json: 'north' -> 'faelakenorthshore' (missing)
../gorstan_working/src/rooms/elfhameZone/faelake.json: 'south' -> 'elfhame' (missing)
../gorstan_working/src/rooms/elfhameZone/faelakenorthshore.json: 'north' -> 'faepalacemainhall' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacedungeons.json: 'up' -> 'faepalacemainhall' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacemainhall.json: 'west' -> 'elfhame' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacemainhall.json: 'south' -> 'faelakenorthshore' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacemainhall.json: 'east' -> 'faepalacerhianonsroom' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacemainhall.json: 'down' -> 'faepalacedungeons' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacerhianonsroom.json: 'west' -> 'faepalacemainhall' (missing)
../gorstan_working/src/rooms/elfhameZone/faepalacerhianonsroom.json: 'mirror' -> 'failure' (missing)
../gorstan_working/src/rooms/glitchZone/failure.json: 'coffee' -> 'issuesdetected' (missing)
../gorstan_working/src/rooms/glitchZone/glitchinguniverse.json: 'solved' -> 'torridon' (missing)
../gorstan_working/src/rooms/glitchZone/issuesdetected.json: 'south' -> 'failure' (missing)
../gorstan_working/src/rooms/glitchZone/issuesdetected.json: 'north' -> 'moreissues' (missing)
../gorstan_working/src/rooms/glitchZone/moreissues.json: 'south' -> 'issuesdetected' (missing)
../gorstan_working/src/rooms/glitchZone/moreissues.json: 'north' -> 'glitchinguniverse' (missing)
../gorstan_working/src/rooms/gorstanZone/carronspire.json: 'portal' -> 'resetroom' (missing)
../gorstan_working/src/rooms/gorstanZone/carronspire.json: 'north' -> 'torridon' (missing)
../gorstan_working/src/rooms/gorstanZone/carronspire.json: 'coffee' -> 'prewelcomescreen' (missing)
../gorstan_working/src/rooms/gorstanZone/torridon.json: 'north' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/gorstanZone/torridon.json: 'south' -> 'carronspire' (missing)
../gorstan_working/src/rooms/gorstanZone/torridon.json: 'east' -> 'torridoninn' (missing)
../gorstan_working/src/rooms/gorstanZone/torridoninn.json: 'west' -> 'torridoninthepast' (missing)
../gorstan_working/src/rooms/gorstanZone/torridoninthepast.json: 'north' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/gorstanZone/torridoninthepast.json: 'south' -> 'carronspire' (missing)
../gorstan_working/src/rooms/gorstanZone/torridoninthepast.json: 'east' -> 'torridoninn' (missing)
../gorstan_working/src/rooms/internal-resetZone/thecrossing.json: 'north' -> 'findlaterscornercoffeeshop' (missing)
../gorstan_working/src/rooms/internal-resetZone/thecrossing.json: 'south' -> 'carronspire' (missing)
../gorstan_working/src/rooms/internal-resetZone/thecrossing.json: 'east' -> 'torridoninn' (missing)
../gorstan_working/src/rooms/introZone/controlnexus.json: 'north' -> 'resetroom' (missing)
../gorstan_working/src/rooms/introZone/controlnexus.json: 'east' -> 'controlroom' (missing)
../gorstan_working/src/rooms/introZone/controlnexus.json: 'south' -> 'crossing' (missing)
../gorstan_working/src/rooms/introZone/controlroom.json: 'west' -> 'controlnexus' (missing)
../gorstan_working/src/rooms/introZone/controlroom.json: 'down' -> 'hiddenlab' (missing)
../gorstan_working/src/rooms/introZone/hiddenlab.json: 'up' -> 'controlroom' (missing)
../gorstan_working/src/rooms/introZone/hiddenlab.json: 'east' -> 'secretmazeentry' (missing)
../gorstan_working/src/rooms/introZone/introafter.json: 'north' -> 'trentpark' (missing)
../gorstan_working/src/rooms/introZone/introstart.json: 'to_mazeZone' -> 'windingpath' (missing)
